url,marca,nombre,genero (desde el titulo),acordes_principales,rating,piramide_olfativa
https://www.fragrantica.es/perfume/Armand-Basi/In-Red-128.html,,In Red Armand Basi,Mujeres,"['cítrico', 'floral blanco', 'fresco', 'aromático', 'cálido especiado', 'amaderado', 'fresco especiado']",3.72,"{'notas_de_salida': ['bergamota', 'jengibre', 'mandarina', 'cardamomo'], 'notas_de_corazon': ['azucena', 'jazmín', 'hojas de violeta', 'pimienta rosa', 'rosa', 'peonía', 'grosellas negras'], 'notas_de_base': ['notas amaderadas', 'musgo de roble', 'almizcle blanco', 'palisandro', 'ámbar', 'vainilla', 'praliné']}"
https://www.fragrantica.es/perfume/Boucheron/Trouble-135.html,,Trouble Boucheron,Mujeres,"['cítrico', 'floral blanco', 'fresco', 'animálico', 'Floral amarillo', 'aromático', 'atalcado', 'ámbar', 'amaderado', 'dulce']",4.25,"{'notas_de_salida': ['limón (lima ácida)', 'retama de los tintoreros'], 'notas_de_corazon': ['jazmín'], 'notas_de_base': ['ámbar', 'cedro']}"
https://www.fragrantica.es/perfume/Aramis/Aramis-Bermuda-Tonic-117.html,,Aramis Bermuda Tonic Aramis,Hombres,"['cítrico', 'ron', 'cuero', 'florales', 'coco', 'aromático', 'atalcado', 'amaderado', 'marino', 'iris']",3.95,"{'notas_de_salida': ['coco', 'notas marinas', 'lima (limón verde)', 'bergamota', 'limón (lima ácida)'], 'notas_de_corazon': ['ron', 'flor del eucalipto', 'iris', 'flores', 'azafrán', 'raíz de lirio'], 'notas_de_base': ['cuero', 'cedro', 'musgo de roble', 'ámbar']}"
https://www.fragrantica.es/perfume/Zara/Green-Savage-72141.html#cc222145,,Green Savage Zara,Hombres,"['cítrico', 'lavanda', 'florales', 'herbal', 'aromático', 'amaderado', 'fresco especiado']",3.91,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': []}"
https://www.fragrantica.es/perfume/Yves-Saint-Laurent/Yvresse-Champagne-101.html,,Yvresse (Champagne) Yves Saint Laurent,Mujeres,"['afrutados', 'florales', 'fresco', 'aromático', 'atalcado', 'cálido especiado', 'ámbar', 'amaderado', 'terrosos', 'dulce']",4.12,"{'notas_de_salida': ['durazno (melocotón)', 'nectarina', 'chabacano', 'alcaravea', 'anís', 'menta'], 'notas_de_corazon': ['canela', 'lichi', 'rosa', 'aceite de rosas', 'clavel', 'violeta', 'iris', 'jazmín', 'lirio de los valles (muguete)'], 'notas_de_base': ['musgo de roble', 'ámbar', 'benjuí', 'vainilla', 'pachulí', 'styrax', 'almizcle', 'cedro', 'vetiver', 'coco']}"
https://www.fragrantica.com/perfume/Versace/Eros-16657.html,,Eros Versace,for men,"['citrus', 'woody', 'vanilla', 'aromatic', 'fruity', 'green', 'fresh', 'amber', 'sweet', 'fresh spicy']",4.07,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Madagascar Vanilla', 'Virginian Cedar', 'Atlas Cedar', 'Vetiver', 'Oakmoss']}"
https://www.fragrantica.es/perfume/Guerlain/Aqua-Allegoria-Pamplelune-57.html,,Aqua Allegoria Pamplelune Guerlain,Mujeres,"['cítrico', 'aromático', 'verde', 'amaderado', 'fresco especiado']",3.96,"{'notas_de_salida': ['toronja (pomelo)', 'bergamota'], 'notas_de_corazon': ['casia', 'petit grain', 'neroli'], 'notas_de_base': ['pachulí', 'vainilla']}"
https://www.fragrantica.es/perfume/Guerlain/Vetiver-69.html,,Vetiver Guerlain,Hombres,"['cítrico', 'florales', 'aromático', 'verde', 'tabaco', 'cálido especiado', 'amaderado', 'terrosos', 'dulce', 'fresco especiado']",4.18,"{'notas_de_salida': ['bergamota', 'tabaco', 'limón (lima ácida)', 'nuez moscada', 'neroli', 'cilantro', 'mandarina'], 'notas_de_corazon': ['vetiver', 'pimienta', 'clavel', 'salvia', 'sándalo', 'raíz de lirio'], 'notas_de_base': ['vetiver', 'musgo de roble', 'cuero', 'mirra', 'algalia (civet)', 'haba tonka', 'ámbar']}"
https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html,,Spicebomb Extreme Viktor&Rolf,for men,"['vanilla', 'powdery', 'cinnamon', 'tobacco', 'warm spicy', 'sweet']",4.5,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': []}"
https://www.fragrantica.es/perfume/Aramis/Aramis-Cool-118.html,,Aramis Cool Aramis,Hombres,"['cítrico', 'ron', 'aromático', 'atalcado', 'cálido especiado', 'amaderado', 'fresco especiado']",3.88,"{'notas_de_salida': ['coñac', 'bergamota', 'mandarina'], 'notas_de_corazon': ['ron', 'enebro de Virginia'], 'notas_de_base': ['sándalo', 'pachulí', 'almizcle']}"
